id,name,kind,category,icon,representative_peak_mass_kg,body_length_m,shoulder_or_body_height_m,burst_speed_kph,effective_reach_m,attack,defense,durability,agility,stamina,intelligence,aggression,coordination,morale,armor,multi_target,habitats,attack_modes,traits,can_fly,aquatic,venomous,ranged,regenerates,undead_or_construct,data_confidence,source_label,source_url,model_notes
wild-boar,Wild boar,animal,large-herbivore,🐗,250,1.9,1.0,40,0.8,70,68,72,56,75,44,78,40,83,55,48,forest; scrub,tusk; bite; charge,thick-hide,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Wild_boar,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
dromedary-camel,Dromedary camel,animal,large-herbivore,🐪,690,3.0,2.1,65,1.5,64,58,72,52,88,48,55,45,76,28,45,desert; open,kick; bite; stomp,heat-adapted,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Dromedary,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
red-kangaroo,Red kangaroo,animal,large-herbivore,🦘,92,1.8,1.8,70,1.2,66,48,55,78,72,48,62,50,70,18,42,open; desert,kick; claw; grapple,tail-balance,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Red_kangaroo,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
mountain-goat,Mountain goat,animal,large-herbivore,🐐,140,1.6,1.0,30,0.8,53,55,62,75,78,38,58,42,72,38,35,mountain; rocky; snow,horn; charge; kick,climber; cold-adapted,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Mountain_goat,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
north-american-porcupine,North American porcupine,animal,small-mammal,🦔,18,0.9,0.45,5,0.4,36,73,58,28,55,32,35,24,60,82,25,forest,bite; quill-contact,quills,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/North_American_porcupine,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
polar-bear,Polar bear,animal,apex-predator,🐻‍❄️,700,2.8,1.6,40,1.4,89,82,88,53,82,55,78,28,88,58,48,snow; ice; coast,bite; claw; grapple,cold-adapted; swimmer,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Polar_bear,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
grizzly-bear,Grizzly bear,animal,apex-predator,🐻,500,2.5,1.5,56,1.3,86,80,86,58,78,52,80,32,86,55,50,forest; mountain; river,bite; claw; grapple,thick-fur,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Grizzly_bear,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
african-lion,African lion,animal,apex-predator,🦁,250,2.5,1.2,80,1.0,82,62,72,78,65,58,78,68,82,28,46,savanna; open,bite; claw; pounce,pack-hunter,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Lion,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
bengal-tiger,Bengal tiger,animal,apex-predator,🐅,260,3.1,1.1,65,1.1,86,65,74,82,66,60,80,38,83,30,50,forest; swamp,bite; claw; pounce,ambush,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Bengal_tiger,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
jaguar,Jaguar,animal,apex-predator,🐆,120,2.0,0.8,80,0.8,80,58,66,82,64,58,82,35,82,26,45,forest; river; swamp,bite; claw; pounce,ambush; swimmer,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Jaguar,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
leopard,Leopard,animal,apex-predator,🐆,90,2.0,0.75,58,0.75,73,54,61,85,66,59,75,34,79,22,43,forest; savanna; mountain,bite; claw; pounce,ambush; climber,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Leopard,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
cheetah,Cheetah,animal,apex-predator,🐆,72,1.5,0.9,105,0.65,58,42,47,96,42,48,60,45,55,12,30,savanna; open,bite; claw; pounce,sprinter,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Cheetah,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
gray-wolf,Gray wolf,animal,pack-predator,🐺,65,1.6,0.85,60,0.65,61,50,60,78,84,62,72,91,85,18,34,forest; snow; open,bite; grapple,pack-hunter; cold-adapted,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Wolf,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
spotted-hyena,Spotted hyena,animal,pack-predator,🐕,86,1.7,0.9,60,0.65,70,59,70,70,85,64,84,88,88,25,38,savanna; open,bite; grapple,pack-hunter,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Spotted_hyena,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
african-wild-dog,African wild dog,animal,pack-predator,🐕,36,1.1,0.75,66,0.5,54,42,50,82,92,62,72,95,82,12,32,savanna; open,bite,pack-hunter; endurance,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/African_wild_dog,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
wolverine,Wolverine,animal,small-predator,🦡,32,1.1,0.45,48,0.45,61,57,66,64,82,48,92,22,95,28,30,forest; snow; mountain,bite; claw; grapple,cold-adapted,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Wolverine,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
honey-badger,Honey badger,animal,small-predator,🦡,16,0.9,0.3,30,0.35,54,64,62,62,76,52,96,20,98,52,28,savanna; scrub,bite; claw,thick-hide; fearless,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Honey_badger,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
silverback-gorilla,Silverback gorilla,animal,primate,🦍,220,1.8,1.7,40,1.0,78,67,78,62,64,78,72,48,86,25,42,forest,bite; grapple; strike,hands,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Gorilla,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
chimpanzee,Chimpanzee,animal,primate,🐒,70,1.2,1.4,40,0.75,62,46,56,78,68,86,78,78,84,12,38,forest,bite; grapple; strike,hands; tool-use,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Chimpanzee,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
olive-baboon,Olive baboon,animal,primate,🐒,50,1.1,0.75,45,0.55,55,45,52,72,70,68,82,82,80,10,30,savanna; forest,bite; grapple,troop,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Olive_baboon,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
giant-panda,Giant panda,animal,large-mammal,🐼,160,1.9,0.9,32,0.7,58,61,68,48,55,48,42,20,68,34,30,forest; mountain,bite; claw; grapple,thick-fur,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Giant_panda,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
mastiff-type-dog,Mastiff-type dog,animal,domestic-predator,🐕,90,1.3,0.8,45,0.55,58,46,57,64,68,58,72,70,80,12,28,farm; urban; open,bite; grapple,domestic; pack-compatible,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/English_Mastiff,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
house-cat,House cat,animal,small-predator,🐈,7,0.75,0.3,48,0.3,32,24,30,90,58,57,70,28,72,6,18,urban; farm; forest,bite; claw; pounce,ambush; climber,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Cat,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
brown-rat,Brown rat,animal,small-mammal,🐀,0.65,0.5,0.12,13,0.1,20,18,24,70,78,52,68,86,72,4,12,urban; sewer; farm,bite,swarm; burrower,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Brown_rat,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
house-mouse,House mouse,animal,small-mammal,🐁,0.04,0.18,0.06,13,0.04,10,8,12,78,72,42,58,82,58,2,8,urban; farm,bite,swarm; burrower,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/House_mouse,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
saltwater-crocodile,Saltwater crocodile,animal,reptile,🐊,1200,6.3,0.7,29,1.3,93,90,92,38,72,45,88,22,92,88,48,river; swamp; coast,bite; death-roll; tail-strike,armored; amphibious; ambush,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Saltwater_crocodile,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
american-alligator,American alligator,animal,reptile,🐊,450,4.5,0.55,32,1.0,82,83,86,42,68,42,80,20,88,82,42,river; swamp,bite; death-roll; tail-strike,armored; amphibious; ambush,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/American_alligator,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
komodo-dragon,Komodo dragon,animal,reptile,🦎,90,3.0,0.6,20,0.8,68,57,66,50,74,45,82,18,86,48,32,island; scrub; forest,bite; claw; tail-strike,venom; ambush,False,False,True,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Komodo_dragon,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
green-anaconda,Green anaconda,animal,reptile,🐍,230,7.0,0.35,10,1.3,74,58,72,48,82,40,72,14,85,30,40,river; swamp; forest,bite; constrict,amphibious; ambush,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Green_anaconda,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
reticulated-python,Reticulated python,animal,reptile,🐍,160,7.0,0.3,8,1.2,70,52,66,50,76,38,70,12,82,25,38,forest; swamp,bite; constrict,ambush,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Reticulated_python,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
king-cobra,King cobra,animal,reptile,🐍,9,5.5,0.2,20,0.8,58,30,38,72,58,45,74,15,78,12,24,forest; scrub,venomous-bite,venom,False,False,True,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/King_cobra,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
inland-taipan,Inland taipan,animal,reptile,🐍,2.0,2.5,0.12,16,0.45,55,22,28,78,46,38,68,10,72,5,18,desert; scrub,venomous-bite,venom,False,False,True,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Inland_taipan,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
common-snapping-turtle,Common snapping turtle,animal,reptile,🐢,35,0.8,0.35,5,0.35,48,72,65,22,64,30,72,12,82,86,18,river; swamp,bite,armored; aquatic; semi-aquatic,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Common_snapping_turtle,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
ostrich,Ostrich,animal,bird,🦤,150,2.1,2.7,70,1.25,67,45,58,76,74,38,60,48,72,12,36,savanna; open,kick; peck; stomp,runner,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Common_ostrich,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
southern-cassowary,Southern cassowary,animal,bird,🐦,80,1.7,1.8,50,0.9,68,48,55,72,64,42,85,26,88,18,34,forest,kick; claw; peck,runner,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Southern_cassowary,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
golden-eagle,Golden eagle,animal,bird-of-prey,🦅,6.7,1.0,0.75,160,0.8,55,32,38,92,60,58,74,28,76,8,26,mountain; open,talon; beak; dive,flight; ambush,True,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Golden_eagle,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
peregrine-falcon,Peregrine falcon,animal,bird-of-prey,🦅,1.5,0.5,0.45,320,0.45,44,23,27,98,45,54,70,22,68,4,18,cliff; urban; open,talon; beak; dive,flight; extreme-speed,True,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Peregrine_falcon,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
great-horned-owl,Great horned owl,animal,bird-of-prey,🦉,2.5,0.65,0.55,65,0.5,43,27,31,88,55,57,72,24,74,5,20,forest; open; urban,talon; beak; dive,flight; night-vision; silent-flight,True,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Great_horned_owl,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
domestic-goose,Domestic goose,animal,bird,🪿,9,0.9,0.8,55,0.45,30,25,34,61,68,42,88,72,82,5,20,farm; river; open,bite; wing-strike,flight; aquatic; flock,True,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Domestic_goose,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
mallard-duck,Mallard duck,animal,bird,🦆,1.5,0.6,0.35,80,0.3,15,13,18,74,64,39,55,70,62,2,12,river; swamp; farm,bite; wing-strike,flight; aquatic; flock,True,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Mallard,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
rooster,Rooster,animal,bird,🐓,4.5,0.7,0.6,14,0.35,28,21,28,70,60,40,86,45,78,4,18,farm; open,spur; peck; wing-strike,flock,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Chicken,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
great-white-shark,Great white shark,animal,marine-predator,🦈,2200,6.4,1.2,56,1.1,92,78,86,62,75,48,80,18,88,42,44,ocean,bite; ram,aquatic; electroreception,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Great_white_shark,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
orca,Orca,animal,marine-predator,🐋,6000,8.0,2.0,56,2.0,96,88,94,73,87,88,74,96,92,40,72,ocean; coast,bite; ram; tail-strike,aquatic; pack-hunter; echolocation,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Orca,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
bottlenose-dolphin,Bottlenose dolphin,animal,marine-predator,🐬,650,4.0,1.0,35,1.1,66,55,64,82,82,86,58,94,82,18,40,ocean; coast,ram; bite; tail-strike,aquatic; pack-hunter; echolocation,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Bottlenose_dolphin,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
walrus,Walrus,animal,marine-mammal,🦭,1700,3.6,1.5,35,1.5,80,84,90,42,82,52,70,58,88,62,52,ocean; ice; coast,tusk; bite; crush,aquatic; land-capable; thick-hide; cold-adapted,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Walrus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
giant-pacific-octopus,Giant Pacific octopus,animal,cephalopod,🐙,70,5.0,0.7,25,2.0,62,48,58,84,66,84,58,30,76,20,62,ocean; reef,beak; grapple; suction,aquatic; camouflage; many-limbs,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Giant_Pacific_octopus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
giant-squid,Giant squid,animal,cephalopod,🦑,275,12.0,1.0,30,5.0,73,52,66,68,75,66,66,24,80,12,76,deep-ocean,beak; tentacle; grapple,aquatic; many-limbs,False,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Giant_squid,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
electric-eel,Electric eel,animal,fish,⚡,20,2.5,0.25,8,1.0,62,35,45,52,58,48,66,8,68,8,46,river; swamp,electric-shock; bite,aquatic; electric,False,True,False,True,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Electric_eel,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
peacock-mantis-shrimp,Peacock mantis shrimp,animal,crustacean,🦐,0.12,0.18,0.08,30,0.08,38,28,32,88,54,38,82,18,72,42,22,reef; ocean,club-strike,aquatic; armored; cavitation-strike,False,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Odontodactylus_scyllarus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
western-honey-bee,Western honey bee,animal,insect,🐝,0.00012,0.015,0.006,24,0.005,10,8,8,68,56,28,72,96,74,3,10,forest; farm; urban,sting,flight; venom; swarm,True,False,True,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Western_honey_bee,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
army-ant-soldier,Army ant soldier,animal,insect,🐜,8e-05,0.018,0.006,1,0.006,9,7,9,58,92,18,92,99,94,6,8,forest; jungle,bite; grapple,swarm; eusocial,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Army_ant,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
yellowjacket-wasp,Yellowjacket wasp,animal,insect,🐝,0.00015,0.018,0.007,30,0.006,12,7,9,76,62,26,94,90,90,2,10,forest; urban; farm,sting; bite,flight; venom; swarm,True,False,True,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Yellowjacket,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
emperor-scorpion,Emperor scorpion,animal,arachnid,🦂,0.06,0.2,0.08,2,0.08,22,38,35,45,62,24,70,18,78,54,16,desert; forest,claw; sting,venom; armored,False,False,True,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Emperor_scorpion,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
goliath-birdeater,Goliath birdeater,animal,arachnid,🕷️,0.175,0.3,0.08,2,0.12,22,24,28,52,54,30,66,16,72,18,18,forest; jungle,bite; hair-defense,venom; ambush,False,False,True,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Goliath_birdeater,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
tyrannosaurus-rex,Tyrannosaurus rex,extinct,dinosaur,🦖,8500,12.3,4.0,27,2.5,98,86,94,48,74,55,82,18,92,56,58,prehistoric-open; forest,bite; ram; stomp,extinct; apex-predator,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Tyrannosaurus,Body mass and speed estimates are uncertain; values represent a large adult reconstruction.
velociraptor,Velociraptor,extinct,dinosaur,🦖,20,2.0,0.5,40,0.55,52,38,45,84,72,58,76,68,82,12,30,prehistoric-open; desert,claw; bite; pounce,extinct; feathered; pack-possible,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Velociraptor,Uses the real animal rather than the much larger popular-film interpretation.
triceratops,Triceratops,extinct,dinosaur,🦕,9000,9.0,3.0,25,2.6,94,94,96,34,76,38,74,38,92,90,64,prehistoric-open,horn; charge; trample,extinct; armored-skull,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Triceratops,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
ankylosaurus,Ankylosaurus,extinct,dinosaur,🦕,8000,8.0,1.7,10,2.0,84,99,98,22,82,34,68,24,94,100,70,prehistoric-open,tail-club; ram,extinct; heavy-armor,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Ankylosaurus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
stegosaurus,Stegosaurus,extinct,dinosaur,🦕,5000,9.0,4.0,15,2.2,82,90,90,27,78,30,64,28,90,88,64,prehistoric-open,tail-spike; stomp,extinct; plates,False,False,False,True,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Stegosaurus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
woolly-mammoth,Woolly mammoth,extinct,megafauna,🐘,7000,6.0,3.5,35,3.0,92,94,96,32,84,58,66,65,90,80,72,snow; steppe,tusk; trample; charge,extinct; cold-adapted; thick-fur,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Woolly_mammoth,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
smilodon,Smilodon,extinct,apex-predator,🐅,280,2.1,1.1,50,1.0,84,64,75,68,58,52,80,25,84,30,46,prehistoric-open; forest,saber-bite; claw; grapple,extinct; ambush,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Smilodon,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
megalodon,Megalodon,extinct,marine-predator,🦈,60000,18.0,3.5,35,3.0,100,94,100,45,86,42,84,12,96,52,72,prehistoric-ocean,bite; ram,extinct; aquatic; apex-predator,False,True,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Megalodon,Size and performance estimates vary substantially; this is a cinematic but biologically bounded reconstruction.
unarmed-peak-adult-human,Unarmed peak adult human,human,human,🧍,100,1.9,1.9,32,0.8,42,37,46,66,66,88,62,72,72,8,28,urban; open; forest,strike; kick; grapple,hands; tool-potential,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Human,"Assumes a large, healthy peak adult with no equipment and no specialised combat training."
trained-unarmed-fighter,Trained unarmed fighter,human,human,🥋,95,1.88,1.88,30,0.9,56,45,54,78,76,90,74,84,86,10,38,urban; open,strike; kick; grapple,hands; trained,False,False,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Combat_sport,Generic composite profile; not a specific person or combat sport.
armoured-spear-carrier,Armoured spear carrier,human,human,🛡️,115,1.9,1.9,22,2.5,70,72,62,52,72,88,70,92,90,72,44,open; fortification; urban,spear; shield; grapple,equipment; formation,False,False,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Spear,"Generic pre-modern equipment abstraction, included to exercise reach, armour and formation mechanics."
prepared-archer,Prepared archer,human,human,🏹,90,1.85,1.85,25,80,68,38,45,64,70,90,60,88,78,12,58,open; forest; fortification,bow; knife,equipment; ranged; limited-ammunition,False,False,False,True,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Archery,Generic ranged profile with finite ammunition; not tied to a named culture or historical unit.
western-dragon,Western dragon,fantasy,mythic-beast,🐉,18000,18,6,70,35,100,96,100,72,92,90,92,54,98,96,100,mountain; open; sky,bite; claw; tail; fire-breath,flight; fire; armored; ranged,True,False,False,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Dragon,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
